#{"t_start": 1779630862.3473332, "env_id": "None"}
r,l,t
-2.96938,128,79.787395
-3.05935,128,79.864004
-3.542032,127,79.939903
-3.889267,131,80.017422
-3.567946,131,80.095851
-4.081305,131,80.173762
-3.488985,128,80.250092
-3.24421,130,80.327899
-3.837412,130,80.405521
-3.501738,130,80.493152
-3.379871,131,80.582383
-3.506008,130,80.664348
-3.116591,128,81.193339
-3.264693,130,81.271551
-3.477398,130,81.349574
-3.38554,130,81.427735
-3.566107,130,81.519574
-3.387343,128,81.599702
-3.289806,128,81.677225
-3.08763,128,81.754722
-3.313244,128,81.829161
-3.114804,128,81.903017
-3.521339,130,81.984714
-3.536186,131,82.065714
-3.860333,131,82.144283
-3.579098,130,82.22217
-3.105686,128,82.298223
-3.628372,131,82.376926
-2.841689,128,82.889215
-3.722054,131,82.967242
-2.983035,128,83.044167
-3.148828,130,83.122089
-2.831329,128,83.199021
-3.226682,128,83.277192
-3.253447,128,83.353128
-3.228616,130,83.430399
-3.015639,128,83.507619
-3.184406,128,83.583474
-3.296778,131,83.662655
-10.725714,158,83.756522
-3.036489,128,83.831541
-7.277913,146,83.918335
-3.287731,130,83.995548
