date,regime
2021-10-27,normal
2021-10-28,normal
2021-10-29,normal
2021-11-01,normal
2021-11-02,normal
2021-11-03,normal
2021-11-04,normal
2021-11-05,normal
2021-11-08,normal
2021-11-09,normal
2021-11-10,normal
2021-11-11,normal
2021-11-12,normal
2021-11-15,normal
2021-11-16,normal
2021-11-17,normal
2021-11-18,normal
2021-11-19,normal
2021-11-22,normal
2021-11-23,normal
2021-11-24,normal
2021-11-25,normal
2021-11-26,normal
2021-11-29,normal
2021-11-30,normal
2021-12-01,normal
2021-12-02,normal
2021-12-03,normal
2021-12-06,normal
2021-12-07,normal
2021-12-08,normal
2021-12-09,normal
2021-12-10,normal
2021-12-13,normal
2021-12-14,normal
2021-12-15,normal
2021-12-16,normal
2021-12-17,normal
2021-12-20,normal
2021-12-21,normal
2021-12-22,normal
2021-12-23,normal
2021-12-24,normal
2021-12-27,normal
2021-12-28,normal
2021-12-29,normal
2021-12-30,normal
2021-12-31,normal
2022-01-03,rate_hike
2022-01-04,rate_hike
2022-01-05,rate_hike
2022-01-06,rate_hike
2022-01-07,rate_hike
2022-01-10,rate_hike
2022-01-11,rate_hike
2022-01-12,rate_hike
2022-01-13,rate_hike
2022-01-14,rate_hike
2022-01-17,rate_hike
2022-01-18,rate_hike
2022-01-19,rate_hike
2022-01-20,rate_hike
2022-01-21,rate_hike
2022-01-24,rate_hike
2022-01-25,rate_hike
2022-01-26,rate_hike
2022-01-27,rate_hike
2022-01-28,rate_hike
2022-01-31,rate_hike
2022-02-01,rate_hike
2022-02-02,rate_hike
2022-02-03,rate_hike
2022-02-04,rate_hike
2022-02-07,rate_hike
2022-02-08,rate_hike
2022-02-09,rate_hike
2022-02-10,rate_hike
2022-02-11,rate_hike
2022-02-14,rate_hike
2022-02-15,rate_hike
2022-02-16,rate_hike
2022-02-17,rate_hike
2022-02-18,rate_hike
2022-02-21,rate_hike
2022-02-22,rate_hike
2022-02-23,rate_hike
2022-02-24,rate_hike
2022-02-25,rate_hike
2022-02-28,rate_hike
2022-03-01,rate_hike
2022-03-02,rate_hike
2022-03-03,rate_hike
2022-03-04,rate_hike
2022-03-07,rate_hike
2022-03-08,rate_hike
2022-03-09,rate_hike
2022-03-10,rate_hike
2022-03-11,rate_hike
2022-03-14,rate_hike
2022-03-15,rate_hike
2022-03-16,rate_hike
2022-03-17,rate_hike
2022-03-18,rate_hike
2022-03-21,rate_hike
2022-03-22,rate_hike
2022-03-23,rate_hike
2022-03-24,rate_hike
2022-03-25,rate_hike
2022-03-28,rate_hike
2022-03-29,rate_hike
2022-03-30,rate_hike
2022-03-31,rate_hike
2022-04-01,rate_hike
2022-04-04,rate_hike
2022-04-05,rate_hike
2022-04-06,rate_hike
2022-04-07,rate_hike
2022-04-08,rate_hike
2022-04-11,rate_hike
2022-04-12,rate_hike
2022-04-13,rate_hike
2022-04-14,rate_hike
2022-04-15,rate_hike
2022-04-18,rate_hike
2022-04-19,rate_hike
2022-04-20,rate_hike
2022-04-21,rate_hike
2022-04-22,rate_hike
2022-04-25,rate_hike
2022-04-26,rate_hike
2022-04-27,rate_hike
2022-04-28,rate_hike
2022-04-29,rate_hike
2022-05-02,rate_hike
2022-05-03,rate_hike
2022-05-04,rate_hike
2022-05-05,rate_hike
2022-05-06,rate_hike
2022-05-09,rate_hike
2022-05-10,rate_hike
2022-05-11,rate_hike
2022-05-12,rate_hike
2022-05-13,rate_hike
2022-05-16,rate_hike
2022-05-17,rate_hike
2022-05-18,rate_hike
2022-05-19,rate_hike
2022-05-20,rate_hike
2022-05-23,rate_hike
2022-05-24,rate_hike
2022-05-25,rate_hike
